action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,32334,[],CHEMBL844999,Inhibition of src at 5 mM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1,,,CHEMBL1132739,Bioorg Med Chem Lett,2000.0,,CHEMBL69638,,CHEMBL69638,,0,http://www.openphacts.org/units/Nanomolar,120764,>,1,1,>,,IC50,nM,,1000.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,1.0
,,40692,[],CHEMBL844999,Inhibition of src at 5 mM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1O,,,CHEMBL1132739,Bioorg Med Chem Lett,2000.0,"{'bei': '19.14', 'le': '0.35', 'lle': '2.84', 'sei': '8.58'}",CHEMBL419082,,CHEMBL419082,7.40,0,http://www.openphacts.org/units/Nanomolar,120769,=,1,1,=,,IC50,nM,,40.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.04
,Not Determined,41978,[],CHEMBL845000,Inhibition of src at 5 mM ATP (not tested),B,,,BAO_0000190,BAO_0000357,single protein format,c1ccc(Oc2ccc(Nc3ncnc4ccccc34)cc2)cc1,,,CHEMBL1132739,Bioorg Med Chem Lett,2000.0,,CHEMBL304760,,CHEMBL304760,,0,http://www.openphacts.org/units/Nanomolar,120771,,1,0,,,IC50,nM,,,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,
,,41985,[],CHEMBL844999,Inhibition of src at 5 mM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,,,CHEMBL1132739,Bioorg Med Chem Lett,2000.0,"{'bei': '21.25', 'le': '0.38', 'lle': '2.27', 'sei': '11.10'}",CHEMBL307982,,CHEMBL307982,7.32,0,http://www.openphacts.org/units/Nanomolar,120767,=,1,1,=,,IC50,nM,,48.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.048
,Not Determined,43151,[],CHEMBL845000,Inhibition of src at 5 mM ATP (not tested),B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1c(-c1ccccc1Oc1ccccc1)cn2C1CCCC1,,,CHEMBL1132739,Bioorg Med Chem Lett,2000.0,,CHEMBL68774,,CHEMBL68774,,0,http://www.openphacts.org/units/Nanomolar,120763,,1,0,,,IC50,nM,,,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,
,,49411,[],CHEMBL844999,Inhibition of src at 5 mM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1,,,CHEMBL1132739,Bioorg Med Chem Lett,2000.0,"{'bei': '18.26', 'le': '0.33', 'lle': '2.50', 'sei': '8.19'}",CHEMBL69129,,CHEMBL69129,7.06,0,http://www.openphacts.org/units/Nanomolar,120765,=,1,1,=,,IC50,nM,,88.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.088
,,51885,[],CHEMBL844999,Inhibition of src at 5 mM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CC(O)C(O)C1,,,CHEMBL1132739,Bioorg Med Chem Lett,2000.0,"{'bei': '17.58', 'le': '0.32', 'lle': '3.55', 'sei': '6.65'}",CHEMBL69827,,CHEMBL69827,7.08,0,http://www.openphacts.org/units/Nanomolar,120762,=,1,1,=,,IC50,nM,,84.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.084
,,53295,[],CHEMBL844999,Inhibition of src at 5 mM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,,,CHEMBL1132739,Bioorg Med Chem Lett,2000.0,"{'bei': '24.06', 'le': '0.44', 'lle': '3.63', 'sei': '9.72'}",CHEMBL306380,,CHEMBL306380,6.77,0,http://www.openphacts.org/units/Nanomolar,120761,=,1,1,=,,IC50,nM,,170.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.17
,,60799,[],CHEMBL844999,Inhibition of src at 5 mM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)n1cc(-c2ccc(Cl)cc2)c2c(N)ncnc21,,,CHEMBL1132739,Bioorg Med Chem Lett,2000.0,"{'bei': '22.69', 'le': '0.44', 'lle': '2.73', 'sei': '12.03'}",CHEMBL306012,,CHEMBL306012,6.82,0,http://www.openphacts.org/units/Nanomolar,120766,=,1,1,=,,IC50,nM,,150.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.15
,,62145,[],CHEMBL844999,Inhibition of src at 5 mM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,,,CHEMBL1132739,Bioorg Med Chem Lett,2000.0,"{'bei': '19.31', 'le': '0.35', 'lle': '1.56', 'sei': '10.85'}",CHEMBL47940,,CHEMBL47940,7.16,0,http://www.openphacts.org/units/Nanomolar,120768,=,1,1,=,,IC50,nM,,70.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.07
